date,instant,id_unique,consumption,consumption_l1,consumption_l2,consumption_l3,consumption_l4,consumption_l5,consumption_l6,consumption_l7,consumption_l8,consumption_l9,consumption_l10,consumption_l11,consumption_l12,consumption_l13,consumption_l14,consumption_l15,consumption_l16,consumption_l17,consumption_l18,consumption_l19,consumption_l20,consumption_l21,consumption_l22,consumption_l23,consumption_l24,consumption_l25,consumption_l26,consumption_l27,consumption_l28,consumption_l29,consumption_l30,consumption_l31,consumption_l32,consumption_l33,consumption_l34,consumption_l35,consumption_l36,consumption_l37,consumption_l38,consumption_l39,consumption_l40,consumption_l41,consumption_l42,consumption_l43,consumption_l44,consumption_l45,consumption_l46,consumption_l47,consumption_l48,weekday
2024-02-14 00:00:00+00:00,0,SSEN-460000201006,7331,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,9685.0,9713.0,13031.0,13778.0,14464.0,14259.0,14577.0,2
2024-02-14 00:30:00+00:00,1,SSEN-460000201006,10675,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,9685.0,9713.0,13031.0,13778.0,14464.0,14259.0,2
2024-02-14 01:00:00+00:00,2,SSEN-460000201006,11108,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,9685.0,9713.0,13031.0,13778.0,14464.0,2
2024-02-14 01:30:00+00:00,3,SSEN-460000201006,9858,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,9685.0,9713.0,13031.0,13778.0,2
2024-02-14 02:00:00+00:00,4,SSEN-460000201006,9603,9858.0,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,9685.0,9713.0,13031.0,2
2024-02-14 02:30:00+00:00,5,SSEN-460000201006,9868,9603.0,9858.0,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,9685.0,9713.0,2
2024-02-14 03:00:00+00:00,6,SSEN-460000201006,9281,9868.0,9603.0,9858.0,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,9685.0,2
2024-02-14 03:30:00+00:00,7,SSEN-460000201006,9057,9281.0,9868.0,9603.0,9858.0,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,6480.0,2
2024-02-14 04:00:00+00:00,8,SSEN-460000201006,9241,9057.0,9281.0,9868.0,9603.0,9858.0,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,5589.0,2
2024-02-14 04:30:00+00:00,9,SSEN-460000201006,6796,9241.0,9057.0,9281.0,9868.0,9603.0,9858.0,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,6930.0,2
2024-02-14 05:00:00+00:00,10,SSEN-460000201006,5757,6796.0,9241.0,9057.0,9281.0,9868.0,9603.0,9858.0,11108.0,10675.0,7331.0,6740.0,8813.0,8917.0,10653.0,12072.0,13522.0,16499.0,13763.0,13200.0,15699.0,13704.0,16144.0,17684.0,14555.0,13957.0,11445.0,10779.0,11753.0,11055.0,10525.0,10414.0,10331.0,9804.0,11152.0,8767.0,10341.0,8565.0,9577.0,9148.0,8469.0,7198.0,6694.0,7312.0,7421.0,7392.0,5787.0,6176.0,5306.0,2
